Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
12-Aug-14,Tuesday,2,Aug,2014,,"7 DOD, 50% Midwest",348,,,,,,
13-Aug-14,Wednesday,2,Aug,2014,,"7 DOD, TBD Electronic",322,,,,,,
14-Aug-14,Thursday,2,Aug,2014,,"7 DOD, Double Pals",274,,,,,,
15-Aug-14,Friday,3,Aug,2014,,"7 DOD, $39.99 Carefresh",430,,,,,,
16-Aug-14,Saturday,3,Aug,2014,,"7 DOD, Up to 30% Dog",414,,,,,,
17-Aug-14,Sunday,3,Aug,2014,,"30-50% Off,FS on $49",309,,,,,,
18-Aug-14,Monday,3,Aug,2014,,"30-50% Off,FS on $49",403,,,,,,
19-Aug-14,Tuesday,3,Aug,2014,,"$15 Off,FS on $49",427,,,,,,
20-Aug-14,Wednesday,3,Aug,2014,,No Email Drop,379,,,,,,
21-Aug-14,Thursday,3,Aug,2014,,"30-50% Off,FS on $49",388,,,,,,
22-Aug-14,Friday,4,Aug,2014,,Free Ship No Min,730,,,,,,
23-Aug-14,Saturday,4,Aug,2014,,Free Ship No Min,464,,,,,,
24-Aug-14,Sunday,4,Aug,2014,,"$5 Off,FS on $35",499,,,,,,
25-Aug-14,Monday,4,Aug,2014,,"$5 Off,FS on $35",515,,,,,,
26-Aug-14,Tuesday,4,Aug,2014,,"30-50% Off,FS on $49",395,,,,,,
27-Aug-14,Wednesday,4,Aug,2014,,"30-50% Off,FS on $49",405,,,,,,
28-Aug-14,Thursday,4,Aug,2014,,"15% Off,FS on $49",334,,,,,,
29-Aug-14,Friday,5,Aug,2014,,"15% Off,FS on $49",268,,,,,,
30-Aug-14,Saturday,5,Aug,2014,,No Email Drop,224,,,,,,
31-Aug-14,Sunday,5,Aug,2014,Previous Day of the-Labor Day,"15% Off,FS on $49",247,,,,,,
1-Sep-14,Monday,1,Sep,2014,Labor Day,"25% Off,FS on $49",590,,,,,,
2-Sep-14,Tuesday,1,Sep,2014,Next Day of the-Labor Day,"25% Off,FS on $49",546,,,,,,
3-Sep-14,Wednesday,1,Sep,2014,,RD Event,304,,,,,,
4-Sep-14,Thursday,1,Sep,2014,,"Up To 40% Off,FS on $49",355,,,,,,
5-Sep-14,Friday,1,Sep,2014,,"30% Off,FS on $100",412,,,,,,
6-Sep-14,Saturday,1,Sep,2014,,No Email Drop,262,,,,,,
